	cluster p value	cluster size	constituents	S	cluster q value
1297	3.483351314333463e-07	15	FOS,CCL4,GEM,JUN,ELOVL6,GRK5,CD44,RAC2,PLAUR,FLNB,HNRNPA3,VCAN,GPR183,CD37	14	4.278188750604099e-05
1324	1.4989508702637257e-06	43	BRD8,MAOA,CSNK1E///CSNK1E,FAM193A,PHKA1,TYRO3,CORO2B,OXA1L,MOCS1,LRRC23///RPL13P5,PDE1B,ARHGEF9,ALPK3,EIF2A,NFX1,GNL1,ZFC3H1,CDKN1B,ERCC3,GRK1,SPON1,MAP3K4,SF3B2,NEK1,LSM14A,EZH1,SLC27A2,ACVR1,RBPMS,TULP3,MCM6,TRIM33,MCM4,WDR43,MSH6,ZNF148,TMC6,CIB1,BTG3,CDC34,OTC,TRIP4,CNOT1	43	0.00016875688547719113
1346	5.662874255422233e-06	15	HLA-G,FMO3,CYP1B1,EP300,HCRTR2,HLA-J,KRT7,IL1R1,RET,CROCC,EXT2,FER,TFRC,SCO2	14	0.0005885033168519567
1244	6.149413519297706e-06	18	SLC36A1,UCHL1,CA12,DHX8,UFD1L,ISG20,MYOF,ERBB2,JAM3,SHC1,RENBP,FLNC,TRIM22,PEA15,IL15,AP3D1,CD47,PPP3CC	18	0.0005934184046122287
1052	0.0004566005015121231	23	ABCC5,KBTBD11,SORBS2,SMAD1,PLEK,TSC22D1,RCAN1,CACNB3,TNFAIP2,ROR2,HSPA8///SNORD14C///SNORD14D,CTSK,ITPR3,PCMTD2,NLRP3,AHR,SOCS1,PLXNC1,CXCL3,LY6E,APOL1,EMP2,CD68	23	0.041124485169525216
1309	0.0007226521632755196	6	MRC1,ITGA5,CXCL8,FKBP1A///LOC101929368,RAN,IL1B	6	0.061018942036576686
1165	0.0010389735235509048	15	TNXA///TNXB,WISP2,CLEC3B///EXOSC7,ISLR,KRT16,SFPQ,CD44,PCGF2,FILIP1L,FAP,OLR1,SBF1,S100A11,NASP,NEDD9	15	0.0825678370774866
1273	0.0013844972511674045	42	TRIB1,VIPR1,BCAM,TAF1B,KBTBD2,NOTCH4,IFI44,KIAA0247,TIE1,NFYA,NOV,CDKN1A,TM4SF1,JAK3,BGN,DOCK4,NFIL3,BMP6,ZFP36,KDR,RRAD,TIPARP,FBXL7,SIK1,GATA2,IGF2///INS-IGF2,SELE,THBD,FOS,ABCG1,DCAF7,RGS16,MAP3K8,ETS2,CCL2,IL33,ITGB3,ICAM1,SCARF1	39	0.10391421035150908
1315	0.0014757116006716578	332	IREB2,S100A7,MMP25,SRSF4,KIR2DL1///KIR2DL2///KIR2DL3///KIR2DL4///KIR2DL5A///KIR2DL5B///KIR2DS5///KIR3DL1///KIR3DL2///KIR3DS1,ADH1B,ZNF133,CTF1,ABCA2,GCFC2,AKAP1,GALK2,GSK3B,LOC101929304///SNX29,ANG,RPS25,SOS2,SYT17,NBAS,UBE2D3,JAK3,ARHGAP32,EPHB1,CEP350,ZNF688,APITD1///APITD1-CORT///CORT,KDM5A,SRSF7,CETN3,GAK,PKN2,NDUFB8,SPG11,TOE1,UBB,DBP,KIF2A,HSF1,KIF11,CTNNA2,POLR2I,DPM2,FAM205B,ANK3,FBLN1,PCBP2,PRDX6,SPP2,BCLAF1,SLC6A10P///SLC6A10PB///SLC6A8,NBR2,FECH,PRKACB,ME2,NCOA2,UGT2B11,AMELY,ATXN7,RPL6,MPP1,C14orf1,EGFL8///PPT2,TEF,ENO3,CHRNB1,PIAS3,ING1,NR0B2,NFIC,FARSA,SMARCD3,METTL21B,CBR4,RPL35,NFASC,RPL36AL,SEMA3E,ILF3,STXBP1,SF3B1,ARHGEF2,CCNH,MAU2,CROT,RAD21,C4BPB,SNRPE,ATXN2L,TAF1C,OR2H1,GRAP2,COG4,EIF4A2///MIR1248///SNORA4///SNORA63///SNORA81///SNORD2,EIF3E,NFATC1,PTPRF,CA3,SPOP,PPY,KIAA0586,ZC3H4,PQBP1,IDH3G,NDC80,CSH1///CSH2///CSHL1///GH1,CSNK2A2,EIF4EBP2,WNT7A,ADD3,MXI1,ZHX2,CALCOCO2,C4orf46///TOMM7,RERE,RALGAPA1,ERC1,WBP4,TYR,EIF3D,TSG101,BRAF///KIAA1549,GAB1,CSNK2A1,KAT8,OPLAH,APPBP2,C20orf194,C2CD2,MSH6,CAMSAP1,ZNF84,DAPK2,KIAA0430,GRP,PRKAR2A,ZNF862,XCL1,KIAA0922,SH3BP1,ABI2,CHPF,RNASE4,MIR943///NELFA,MAP2K5,ERGIC3,RAB28,CFDP1,ATP5I,RBP4,LTF,1,APOM,PMP22,CHP2,MRE11A,ADAM22,ST3GAL1,DDX27,APOE,HEBP2,ASMTL,VPS11,ACVR1B,EED,CCT8,TWIST1,NR2C1,SLC30A9,ZNF248,EIF3H,MYH10,PPIG,NME4,ANP32A,FAM161A,GNMT,GCC2///RGPD3///RGPD4///RGPD5///RGPD6///RGPD8,DLG5,IFT88,3///RBMY2AP///RBMY2AP///RBMY2BP///RBMY2BP///RBMY2DP///RBMY2DP,ZNF24,C5,DNPEP,PCGF1,NRG2,IGHG1///SKAP2,MRPL49,TOP3B,GH2,CIRBP,MAD1L1,NR4A3,NACA,DNAL4,SRSF10,ZNF266,AUTS2,ABCD4,GNB2,SVIL,SRP72,CRELD1,CCNG2,GRIK5,SLC25A6,SOX5,RPL23///RPL23P8///SNORA21,CD47,GRAMD1B,RAD54L,LEFTY1///LEFTY2,RPL24,HNRNPH3,ACAT2,HMGN1,CPM,SMAD5,EIF3F,LOC100508408///RPS13///SNORD14B,KRT85,AZIN1,DAAM1,HADH,LOC101929240///SNRNP200,CLDN18,BRD8,NUMA1,IFNA21,RTF1,PLK4,ZC3H14,PDK2,FASN,ZNF282,BTBD2,GPR68,HNRNPDL,PRKACA,GRIN2D,PSIP1,NSA2,OCRL,CGRRF1,PLAGL1,STX8,MS4A2,ITM2B,ANP32B,ZNF75D,CEP164,VPS26A,ZNF623,HMGXB4,CNTN1,HOXA9///MIR196B,GPD1L,NONO,FABP5,PCDHB17,ZNF467,ORC3,PFKFB2,GABRA5,GRM5,LRRC75A-AS1///SNORD49A///SNORD49B///SNORD65,SEC24B,GADD45G,SPAG7,RPRD2,PIGO,NLGN4Y,HADHB,HLF,BCKDHA,TRAP1,TOMM20,GNB3,DYRK1B,2///U80764,PRPF40A,CD200,KARS,ESRRB,TRAF2,IFNG,NUDC,C18orf32///RPL17///RPL17-C18orf32///SNORD58A///SNORD58B///SNORD58C,GATAD1,PHB2,SEC16A,BEX4,TBC1D22A,USP8,3///Igalpha1-[alpha]2m///IGH,ZNF177///ZNF559-ZNF177,TRAPPC10,GNAS,LY6G6D///LY6G6F,TOMM40,DHRS12,KIAA0895,SFT2D2,HSDL2,DYRK1A,ZNF273,SLC23A2,SHC1P1///SHC1P1,SIK2,UCP2,TNPO3,DDX28,ENTPD6,RPL15,FLT4,RALA,RASA1,NHP2L1,PJA2,STON1,IL9,PRMT2,HUWE1	322	0.1049308617109163
671	0.0015707649621374015	7	BMP6,CLK1,CD163,IGLC1,BCL2A1,JAG1,PLAU	7	0.10610517319238148
1117	0.00250771453051513	29	MAOA,PLAGL1,CNTFR,MBD4,WASF2,DYNC1I2,PHIP,MDC1,TNKS,HOXB5,FBXO46,ST3GAL6,AKR1A1,HES2,PPP1R3D,RAB3GAP1,MSH5///MSH5-SAPCD1///SAPCD1,CPA2,KAT7,SERPINI1,ADIRF,SMC3,AP3M2,TMEM243,SNN,F2RL1,CPOX,IL5,OGT	29	0.16132963479647336
1092	0.006880587166153234	15	AGL,MAOA,DDX6,IDH3B,COX7A2,UBTF,MCAT,SLC22A18,CCT7,TNFAIP8,MGEA5,CASK,PMPCB,ADRBK2,RAPGEF2	15	0.42253060279422816
383	0.007470695257492799	2	PIK3R1,SLC7A1	2	0.43882214316838136
1120	0.007470695257492799	2	ANKHD1///ANKHD1-EIF4EBP3///EIF4EBP3,CGRRF1	2	0.42053788720303215
541	0.007470695257492799	2	S100A4,GPC1	2	0.4037163717149108
